,code,title
689,ATS2141,Japanese introductory 1
690,ATS2142,Japanese introductory 2
691,ATS2143,Japanese intermediate 1
692,ATS2144,Japanese intermediate 2
693,ATS2145,Japanese proficient 1
694,ATS2146,Japanese proficient 2
695,ATS2159,Recording and computer music production
696,ATS2160,"Language, culture and society on the Korean Peninsula"
697,ATS2169,Photojournalism
698,ATS2170,Social entrepreneurship challenge in the Indo-Pacific
699,ATS2171,Korean introductory 1
700,ATS2172,Korean introductory 2
701,ATS2173,Korean intermediate 1
702,ATS2174,Korean intermediate 2
703,ATS2184,Intercultural skills for an internationalised workplace
704,ATS2185,Who wrote the Bible and why?
705,ATS2186,Audio lab
706,ATS2187,Video lab
707,ATS2188,Writing lab
708,ATS2189,"Conflict and coexistence 1: Jews, Christians and Muslims from antiquity through the middle ages"
709,ATS2193,Spanish intermediate 1
710,ATS2194,Spanish intermediate 2
711,ATS2195,Spanish proficient 1
712,ATS2196,Spanish proficient 2
713,ATS2199,"Intercultural encounters: Communication, misunderstandings and conflict resolution"
714,ATS2206,PPE global study abroad
715,ATS2211,Understanding workplace innovation
716,ATS2212,Antisemitism and Islamophobia: Old and new forms of hate
717,ATS2213,Imagining Europe
718,ATS2219,Sports journalism 
719,ATS2220,"Screening Europe: transnational histories, narratives and identities"
720,ATS2223,Italian intermediate 1
721,ATS2224,Italian intermediate 2
722,ATS2225,Italian proficient 1
723,ATS2226,Italian proficient 2
724,ATS2229,Intensive introductory Italian 1 (in country)
725,ATS2230,Intensive introductory Italian 2 (in country)
726,ATS2243,"Intercultural competence and media: Cultures, customs and values"
727,ATS2248,Writing women
728,ATS2250,Communications and cultures in the global era
729,ATS2251,Cuba study tour
730,ATS2252,"Strategic reasoning in politics, philosophy and economics"
731,ATS2256,Political psychology
732,ATS2257,"Long-form television: ""HBO"" and beyond"
733,ATS2258,The global rise of populism
734,ATS2262,Philosophical traditions
735,ATS2263,Popular culture in Europe
736,ATS2264,Intercultural skills for global leaders
737,ATS2265,"Sustainable Tuscany: Tradition, innovation and entrepreneurship"
738,ATS2266,"Living a meaningful life: The history, philosophy and practice of a contemplative life"
739,ATS2267,"True happiness: The art, practice and science of human flourishing"
740,ATS2268,Four lost cities of the Ancient World
741,ATS2269,"Contemporary Australia and its cultures: peoples, places, identities"
742,ATS2272,Popular music 3
743,ATS2273,Popular music 4
744,ATS2274,"Languages, cultures and interaction in Asia"
745,ATS2275,"The European Union: Challenges, crises and opportunities"
746,ATS2276,Modern Italian political thought
